Key,English Value,Category,Priority,Notes
"hero.title","Honor Their Memory","hero","HIGH",""
"hero.subtitle","Create beautiful memorial websites where families and friends celebrate lives and share memories together","hero","HIGH",""
"hero.buttons.create","Create a Memorial Page","hero","HIGH",""
"hero.buttons.view","View Sample Memorial","hero","HIGH",""
"navbar.logo","ForeverPages","navbar","HIGH",""
"navbar.navigation.features","Features","navbar","HIGH",""
"navbar.navigation.home","Home","navbar","HIGH",""
"navbar.navigation.memorials","Memorial Pages","navbar","HIGH",""
"navbar.navigation.howItWorks","How It Works","navbar","HIGH",""
"navbar.navigation.support","Contact","navbar","HIGH",""
"navbar.buttons.signIn","Sign In","navbar","HIGH",""
"navbar.buttons.signOut","Log Out","navbar","HIGH",""
"navbar.buttons.dashboard","Dashboard","navbar","HIGH",""
"contact.title","Get In Touch","contact","MEDIUM",""
"contact.subtitle","Have questions or need support? We're here to help you create a beautiful memorial.","contact","MEDIUM",""
"contact.info.email.title","Email Us","contact","MEDIUM",""
"contact.info.email.description","Send us an email anytime","contact","MEDIUM",""
"contact.info.phone.title","Call Us","contact","MEDIUM",""
"contact.info.phone.description","Mon-Fri from 10am to 6pm (WAT)","contact","MEDIUM",""
"contact.info.address.title","Office Address","contact","MEDIUM",""
"contact.info.hours.title","Business Hours","contact","MEDIUM",""
"contact.info.hours.weekdays","Monday - Friday","contact","MEDIUM",""
"contact.info.hours.saturday","Saturday","contact","MEDIUM",""
"contact.info.hours.sunday","Sunday","contact","MEDIUM",""
"contact.info.hours.closed","Closed","contact","MEDIUM",""
"contact.form.name","Full Name","contact","MEDIUM",""
"contact.form.namePlaceholder","Enter your full name","contact","MEDIUM",""
"contact.form.email","Email Address","contact","MEDIUM",""
"contact.form.emailPlaceholder","Enter your email address","contact","MEDIUM",""
"contact.form.subject","Subject","contact","MEDIUM",""
"contact.form.subjectPlaceholder","What is this regarding?","contact","MEDIUM",""
"contact.form.message","Message","contact","MEDIUM",""
"contact.form.messagePlaceholder","Tell us how we can help you...","contact","MEDIUM",""
"contact.form.send","Send Message","contact","MEDIUM",""
"contact.form.sending","Sending...","contact","MEDIUM",""
"features.title","Compassionate Features","features","MEDIUM",""
"features.subtitle","Everything you need to create a beautiful, lasting tribute that brings people together","features","MEDIUM",""
"features.items.memoryGallery.title","Memory Gallery","features","MEDIUM",""
"features.items.memoryGallery.description","Share unlimited photos, videos, and cherished memories in a beautifully organized collection that tells the complete story of your loved one's life journey and special moments captured over time.","features","MEDIUM",""
"features.items.tributeWall.title","Tribute Wall","features","MEDIUM",""
"features.items.tributeWall.description","Friends and family can leave heartfelt messages, share personal stories, and offer condolences in a dedicated space that becomes a digital gathering place for everyone who cared about your loved one.","features","MEDIUM",""
"features.items.privacyControls.title","Privacy Controls","features","MEDIUM",""
"features.items.privacyControls.description","Maintain complete control over who can view and contribute to the memorial with our comprehensive privacy settings that ensure your family's comfort and security during this difficult time.","features","MEDIUM",""
"features.items.foreverPreserved.title","Forever Preserved","features","MEDIUM",""
"features.items.foreverPreserved.description","Your memorial pages are permanently preserved in our secure cloud storage, ensuring they remain accessible for future generations to visit, remember, and cherish forever without any time limitations.","features","MEDIUM",""
"funeralPages.title","Community Memorials","funeralPages","MEDIUM",""
"funeralPages.subtitle","See how others are honoring their loved ones with beautiful, personalized memorial pages","funeralPages","MEDIUM",""
"funeralPages.viewMore","View More Memorials","funeralPages","MEDIUM",""
"funeralPages.featured","Featured","funeralPages","MEDIUM",""
"funeralPages.tributes","tributes","funeralPages","MEDIUM",""
"funeralPages.visits","visits","funeralPages","MEDIUM",""
"funeralPages.by","By","funeralPages","MEDIUM",""
"funeralPages.memorialImage","Memorial Image","funeralPages","MEDIUM",""
"allFuneralPage.title","Community Memorials","allFuneralPage","MEDIUM",""
"allFuneralPage.subtitle","See how others are honoring their loved ones with beautiful, personalized memorial pages","allFuneralPage","MEDIUM",""
"allFuneralPage.by","By","allFuneralPage","MEDIUM",""
"allFuneralPage.view","View","allFuneralPage","MEDIUM",""
"allFuneralPage.noMemorials","No memorial pages found.","allFuneralPage","MEDIUM",""
"allFuneralPage.previous","Previous","allFuneralPage","MEDIUM",""
"allFuneralPage.next","Next","allFuneralPage","MEDIUM",""
"allFuneralPage.searchPlaceholder","Search by name or family...","allFuneralPage","MEDIUM",""
"allFuneralPage.search","Search","allFuneralPage","MEDIUM",""
"howItWorks.title","How It Works","howItWorks","MEDIUM",""
"howItWorks.subtitle","Creating a beautiful memorial is simple and takes just a few minutes","howItWorks","MEDIUM",""
"howItWorks.steps.create.number","01","howItWorks","MEDIUM",""
"howItWorks.steps.create.title","Create Your Memorial","howItWorks","MEDIUM",""
"howItWorks.steps.create.description","Start by choosing a beautiful template and adding basic information about your loved one. Our intuitive interface makes it easy to get started in just minutes.","howItWorks","MEDIUM",""
"howItWorks.steps.create.icon","✍️","howItWorks","MEDIUM",""
"howItWorks.steps.addContent.number","02","howItWorks","MEDIUM",""
"howItWorks.steps.addContent.title","Add Photos & Stories","howItWorks","MEDIUM",""
"howItWorks.steps.addContent.description","Upload cherished photos, write meaningful stories, and organize memories in a way that truly honors their life and legacy.","howItWorks","MEDIUM",""
"howItWorks.steps.addContent.icon","📸","howItWorks","MEDIUM",""
"howItWorks.steps.share.number","03","howItWorks","MEDIUM",""
"howItWorks.steps.share.title","Share with Family","howItWorks","MEDIUM",""
"howItWorks.steps.share.description","Invite family and friends to contribute their own memories, photos, and tributes to create a comprehensive memorial together.","howItWorks","MEDIUM",""
"howItWorks.steps.share.icon","👥","howItWorks","MEDIUM",""
"howItWorks.steps.preserve.number","04","howItWorks","MEDIUM",""
"howItWorks.steps.preserve.title","Preserve Forever","howItWorks","MEDIUM",""
"howItWorks.steps.preserve.description","Your memorial is safely stored and will remain accessible for future generations to visit, remember, and cherish forever.","howItWorks","MEDIUM",""
"howItWorks.steps.preserve.icon","💝","howItWorks","MEDIUM",""
"howItWorks.buttons.watchDemo","Watch Demo Video","howItWorks","MEDIUM",""
"howItWorks.modal.title","How It Works - Demo","howItWorks","MEDIUM",""
"howItWorks.modal.description","Watch this quick demo to see how easy it is to create a beautiful memorial page","howItWorks","MEDIUM",""
"howItWorks.modal.placeholder","Replace this with your video player component","howItWorks","MEDIUM",""
"testimonials.title","What Families Are Saying","testimonials","MEDIUM",""
"testimonials.subtitle","Real stories from families who have found comfort and healing through our platform","testimonials","MEDIUM",""
"testimonials.testimonials.sarah.name","Sarah Johnson","testimonials","MEDIUM",""
"testimonials.testimonials.sarah.role","Daughter","testimonials","MEDIUM",""
"testimonials.testimonials.sarah.content","Creating a memorial for my father was one of the most healing experiences. The platform made it so easy to gather photos and stories from our entire family. It's become a place we all visit regularly.","testimonials","MEDIUM",""
"testimonials.testimonials.michael.name","Michael Chen","testimonials","MEDIUM",""
"testimonials.testimonials.michael.role","Son","testimonials","MEDIUM",""
"testimonials.testimonials.michael.content","The privacy controls gave us peace of mind, and the beautiful templates helped us create something truly special. Friends and family from around the world could contribute their memories.","testimonials","MEDIUM",""
"testimonials.testimonials.emily.name","Emily Rodriguez","testimonials","MEDIUM",""
"testimonials.testimonials.emily.role","Granddaughter","testimonials","MEDIUM",""
"testimonials.testimonials.emily.content","I was able to preserve my grandmother's stories and recipes in a way that will last forever. The support team was incredibly helpful throughout the process.","testimonials","MEDIUM",""
"testimonials.testimonials.emanuel.name","Emanuel Okeke","testimonials","MEDIUM",""
"testimonials.testimonials.emanuel.role","Grandson","testimonials","MEDIUM",""
"testimonials.testimonials.emanuel.content","I was able to preserve my grandmother's stories and recipes in a way that will last forever. The support team was incredibly helpful throughout the process.","testimonials","MEDIUM",""
"testimonials.testimonials.boma.name","Boma George","testimonials","MEDIUM",""
"testimonials.testimonials.boma.role","Granddaughter","testimonials","MEDIUM",""
"testimonials.testimonials.boma.content","I was able to preserve my grandmother's stories and recipes in a way that will last forever. The support team was incredibly helpful throughout the process.","testimonials","MEDIUM",""
"testimonials.testimonials.tosin.name","Tosin Ola","testimonials","MEDIUM",""
"testimonials.testimonials.tosin.role","Grandson","testimonials","MEDIUM",""
"testimonials.testimonials.tosin.content","I was able to preserve my grandmother's stories and recipes in a way that will last forever. The support team was incredibly helpful throughout the process.","testimonials","MEDIUM",""
"testimonials.testimonials.aish.name","Aish Usman","testimonials","MEDIUM",""
"testimonials.testimonials.aish.role","Granddaughter","testimonials","MEDIUM",""
"testimonials.testimonials.aish.content","I was able to preserve my grandmother's stories and recipes in a way that will last forever. The support team was incredibly helpful throughout the process.","testimonials","MEDIUM",""
"testimonials.joinFamilies.title","Join Families","testimonials","MEDIUM",""
"testimonials.joinFamilies.description","Over 50,000 families have trusted us to help preserve their loved ones' memories. Start creating your memorial today and join our compassionate community.","testimonials","MEDIUM",""
"pricing.getStarted","Get Started","pricing","MEDIUM",""
"pricing.daysOfForever","days of forever","pricing","MEDIUM",""
"pricing.modal.plan","Plan","pricing","MEDIUM",""
"pricing.modal.featuresIncluded","Features Included:","pricing","MEDIUM",""
"pricing.modal.termsAndConditions","Terms & Conditions","pricing","MEDIUM",""
"pricing.modal.proceedToPayment","Proceed to Payment","pricing","MEDIUM",""
"pricing.modal.agreeTermsMessage","Please agree to the terms and conditions to proceed with payment","pricing","MEDIUM",""
"pricing.renewal.oneTimePayment","One-time Payment","pricing","MEDIUM",""
"pricing.renewal.whatYouGet","What You Get","pricing","MEDIUM",""
"pricing.renewal.upgradeToLifetime","Upgrade to Lifetime Access","pricing","MEDIUM",""
"pricing.renewal.loading","Loading...","pricing","MEDIUM",""
"pricing.payment.initializing","Initializing...","pricing","MEDIUM",""
"pricing.payment.securePayment","🔒 Secure payment powered by Paystack","pricing","MEDIUM",""
"pricing.title","Choose Your Plan","pricing","MEDIUM",""
"pricing.subtitle","Select the perfect plan to create a beautiful memorial website","pricing","MEDIUM",""
"pricing.plans.basic.name","Basic","pricing","MEDIUM",""
"pricing.plans.basic.price","120,000","pricing","MEDIUM",""
"pricing.plans.basic.period","/60days","pricing","MEDIUM",""
"pricing.plans.basic.description","Perfect for getting started","pricing","MEDIUM",""
"pricing.plans.basic.features.photos","Up to 50 photos","pricing","MEDIUM",""
"pricing.plans.basic.features.template","Basic template","pricing","MEDIUM",""
"pricing.plans.basic.features.tributeWall","Tribute wall","pricing","MEDIUM",""
"pricing.plans.basic.features.mobile","Mobile responsive","pricing","MEDIUM",""
"pricing.plans.basic.features.privacy","Basic privacy controls","pricing","MEDIUM",""
"pricing.plans.basic.button","Get Started Free","pricing","MEDIUM",""
"pricing.plans.premium.name","Premium","pricing","MEDIUM",""
"pricing.plans.premium.price","250,000","pricing","MEDIUM",""
"pricing.plans.premium.period","/90days","pricing","MEDIUM",""
"pricing.plans.premium.description","Most popular choice","pricing","MEDIUM",""
"pricing.plans.premium.features.photos","Unlimited photos & videos","pricing","MEDIUM",""
"pricing.plans.premium.features.template","Premium templates","pricing","MEDIUM",""
"pricing.plans.premium.features.customization","Advanced customization","pricing","MEDIUM",""
"pricing.plans.premium.features.support","Priority support","pricing","MEDIUM",""
"pricing.plans.premium.features.backup","Download & backup","pricing","MEDIUM",""
"pricing.plans.premium.features.analytics","Analytics dashboard","pricing","MEDIUM",""
"pricing.plans.premium.features.domain","Custom domain","pricing","MEDIUM",""
"pricing.plans.premium.button","Choose Premium","pricing","MEDIUM",""
"pricing.plans.premium.badge","Most Popular","pricing","MEDIUM",""
"pricing.plans.family.name","Family","pricing","MEDIUM",""
"pricing.plans.family.price","350,000","pricing","MEDIUM",""
"pricing.plans.family.period","/365days","pricing","MEDIUM",""
"pricing.plans.family.description","For extended families","pricing","MEDIUM",""
"pricing.plans.family.features.photos","Everything in Premium","pricing","MEDIUM",""
"pricing.plans.family.features.template","Multiple memorials","pricing","MEDIUM",""
"pricing.plans.family.features.tributeWall","Family tree integration","pricing","MEDIUM",""
"pricing.plans.family.features.mobile","Advanced privacy controls","pricing","MEDIUM",""
"pricing.plans.family.features.privacy","Dedicated support","pricing","MEDIUM",""
"pricing.plans.family.features.support","Custom branding","pricing","MEDIUM",""
"pricing.plans.family.features.branding","API access","pricing","MEDIUM",""
"pricing.plans.family.button","Choose Family","pricing","MEDIUM",""
"pricing.allPlansInclude.title","All Plans Include","pricing","MEDIUM",""
"pricing.allPlansInclude.description","Free setup assistance, 24/7 customer support, and the peace of mind that your memorial will be preserved forever.","pricing","MEDIUM",""
"cta.title","Start Creating a Memorial Today","cta","MEDIUM",""
"cta.subtitle","Join thousands of families who have found comfort in preserving and sharing the memories of their loved ones.","cta","MEDIUM",""
"cta.buttons.getStarted","Get Started Free","cta","MEDIUM",""
"cta.buttons.viewSample","View Sample Memorial","cta","MEDIUM",""
"cta.reassurance","No credit card required • Easy setup • Free forever plan available","cta","MEDIUM",""
"footer.links.privacy","Privacy Policy","footer","HIGH",""
"footer.links.terms","Terms of Service","footer","HIGH",""
"footer.links.support","Support","footer","HIGH",""
"footer.links.contact","Contact","footer","HIGH",""
"footer.copyright","ForeverPages. Created with love to honor every life.","footer","HIGH",""
"common.loading","Loading...","common","HIGH",""
"common.error","An error occurred","common","HIGH",""
"common.retry","Retry","common","HIGH",""
"common.close","Close","common","HIGH",""
"common.save","Save","common","HIGH",""
"common.cancel","Cancel","common","HIGH",""
"faq.title","Frequently Asked Questions","faq","MEDIUM",""
"faq.subtitle","Find answers to common questions about creating and managing memorial pages","faq","MEDIUM",""
"faq.items.memorialDuration.question","How long will the memorial page remain active?","faq","MEDIUM",""
"faq.items.memorialDuration.answer","Your memorial page will remain active forever. We are committed to preserving these digital legacies indefinitely, ensuring that future generations can always remember and celebrate the lives of their loved ones.","faq","MEDIUM",""
"faq.items.contentTypes.question","What type of content can I add to a memorial page?","faq","MEDIUM",""
"faq.items.contentTypes.answer","You can add photos, videos, written memories, audio recordings, and important life milestones. Our platform supports various media formats to help you create a comprehensive and meaningful tribute.","faq","MEDIUM",""
"faq.items.privacyControl.question","Can I control who can view the memorial page?","faq","MEDIUM",""
"faq.items.privacyControl.answer","Yes, you have full control over the privacy settings. You can make the page public, private with password protection, or share it only with specific people via invitation links.","faq","MEDIUM",""
"faq.items.multipleContributors.question","Can multiple people contribute to the same memorial page?","faq","MEDIUM",""
"faq.items.multipleContributors.answer","Absolutely. You can invite family members and friends to contribute their own memories, photos, and stories. This creates a collaborative space where everyone can share their unique perspective and memories.","faq","MEDIUM",""
"faq.items.changesAfterCreation.question","Can I make changes to the memorial page after it's created?","faq","MEDIUM",""
"faq.items.changesAfterCreation.answer","Yes, you can update and edit the memorial page at any time. Add new content, modify existing information, or update privacy settings whenever needed.","faq","MEDIUM",""
"faq.items.cost.question","Is there a cost associated with creating a memorial page?","faq","MEDIUM",""
"faq.items.cost.answer","We offer both free and premium options. The free version includes essential features, while premium options provide additional storage, advanced customization, and enhanced privacy controls. Our goal is to make digital memorials accessible to everyone.","faq","MEDIUM",""
"faq.help.title","Still have questions?","faq","MEDIUM",""
"faq.help.description","Our support team is here to help you create a beautiful and lasting tribute","faq","MEDIUM",""
"faq.help.button","Contact Support","faq","MEDIUM",""
"dashboard.sidebar.brand","ForeverPages","dashboard","MEDIUM",""
"dashboard.sidebar.nav.gallery","Gallery","dashboard","MEDIUM",""
"dashboard.analytics.metrics.totalTemplates","Total Templates","dashboard","MEDIUM",""
"dashboard.analytics.metrics.totalDownloads","Total Downloads","dashboard","MEDIUM",""
"dashboard.analytics.metrics.totalRevenue","Total Revenue","dashboard","MEDIUM",""
"dashboard.analytics.metrics.averageRating","Average Rating","dashboard","MEDIUM",""
"dashboard.analytics.metrics.totalViews","Total Views","dashboard","MEDIUM",""
"dashboard.analytics.metrics.uniqueVisitors","Unique Visitors","dashboard","MEDIUM",""
"dashboard.analytics.metrics.averageTime","Avg. Time on Page","dashboard","MEDIUM",""
"dashboard.analytics.metrics.conversionRate","Conversion Rate","dashboard","MEDIUM",""
"dashboard.analytics.metrics.popularTemplates","Popular Templates","dashboard","MEDIUM",""
"dashboard.analytics.metrics.usageTrends","Usage Trends","dashboard","MEDIUM",""
"dashboard.analytics.charts.viewsOverTime","Views Over Time","dashboard","MEDIUM",""
"dashboard.analytics.charts.templateUsage","Template Usage Distribution","dashboard","MEDIUM",""
"dashboard.analytics.charts.visitorDemographics","Visitor Demographics","dashboard","MEDIUM",""
"dashboard.analytics.charts.performanceMetrics","Performance Metrics","dashboard","MEDIUM",""
"dashboard.analytics.periods.7days","Last 7 Days","dashboard","MEDIUM",""
"dashboard.analytics.periods.30days","Last 30 Days","dashboard","MEDIUM",""
"dashboard.analytics.periods.90days","Last 90 Days","dashboard","MEDIUM",""
"dashboard.analytics.periods.1year","Last Year","dashboard","MEDIUM",""
"dashboard.analytics.loading","Loading analytics...","dashboard","MEDIUM",""
"dashboard.analytics.noData","No analytics data available yet","dashboard","MEDIUM",""
"dashboard.templates.list.title","Your Templates ({count})","dashboard","MEDIUM",""
"dashboard.templates.list.subtitle","Templates you've created and customized","dashboard","MEDIUM",""
"dashboard.templates.deleteDialog.deleting","Deleting...","dashboard","MEDIUM",""
"dashboard.templates.deleteDialog.confirm","Delete Template","dashboard","MEDIUM",""
"dashboard.templates.actions.preview","Preview","dashboard","MEDIUM",""
"dashboard.templates.actions.edit","Edit","dashboard","MEDIUM",""
"dashboard.templates.actions.duplicate","Duplicate","dashboard","MEDIUM",""
"dashboard.templates.actions.delete","Delete","dashboard","MEDIUM",""
"dashboard.templates.createButton","Create Template","dashboard","MEDIUM",""
"dashboard.templates.createButtonShort","Create","dashboard","MEDIUM",""
"dashboard.templates.form.name.label","Template Name","dashboard","MEDIUM",""
"dashboard.templates.form.name.placeholder","Enter template name","dashboard","MEDIUM",""
"dashboard.templates.form.description.label","Description","dashboard","MEDIUM",""
"dashboard.templates.form.description.placeholder","Optional description","dashboard","MEDIUM",""
"dashboard.templates.form.baseTemplate.label","Base Template","dashboard","MEDIUM",""
